ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
Abraham Lincoln Birthplace NHP,1934,175000,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1935,89355,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1936,149665,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1937,111840,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1938,121144,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1939,112626,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1940,136945,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1941,110830,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1942,59210,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1943,13520,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1944,13060,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1945,23271,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1946,51056,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1947,60323,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
Abraham Lincoln Birthplace NHP,1948,75150,,,,,,,,,,,14529629611,5107897608,50973772691,2670198117,141572080,40631063,143312434,120364437,78552918,13776973,94832476
