park_name,nps_region
Abraham Lincoln Birthplace NHP,southeast
Acadia NP,north_atlantic
Arlington House The R.E. Lee MEM,mid_atlantic
Assateague Island NS,mid_atlantic
Aztec Ruins NM,southwest
Badlands NP,rocky_mountain
Blue Ridge PKWY,southeast
Boston NHP,north_atlantic
Bryce Canyon NP,rocky_mountain
Cabrillo NM,western
Cape Cod NS,north_atlantic
Capulin Volcano NM,southwest
Carlsbad Caverns NP,southwest
Casa Grande Ruins NM,western
Castillo de San Marcos NM,southeast
Castle Clinton NM,north_atlantic
Chattahoochee River NRA,southeast
Chesapeake & Ohio Canal NHP,mid_atlantic
Chickamauga & Chattanooga NMP,southeast
Chickasaw NRA,southwest
Colonial NHP,mid_atlantic
Colorado NM,rocky_mountain
Crater Lake NP,pacific_northwest_and_alaska
Cuyahoga Valley NP,midwest
Delaware Water Gap NRA,mid_atlantic
Devils Tower NM,rocky_mountain
El Morro NM,southwest
Federal Hall NMEM,north_atlantic
Ford's Theatre NHS,national_capital
Fort McHenry NM & HS,mid_atlantic
Franklin Delano Roosevelt MEM,national_capital
Gateway Arch NP,midwest
Gateway NRA,mid_atlantic
George Washington Birthplace NM,mid_atlantic
George Washington MEM PKWY,mid_atlantic
Gettysburg NMP,mid_atlantic
Glacier NP,rocky_mountain
Glen Canyon NRA,rocky_mountain
Golden Gate NRA,western
Grand Canyon NP,western
Grand Teton NP,rocky_mountain
Great Smoky Mountains NP,southeast
Gulf Islands NS,southeast
Hawaii Volcanoes NP,western
Home of Franklin D. Roosevelt NHS,north_atlantic
Hot Springs NP,southwest
Independence NHP,mid_atlantic
"John D. Rockefeller, Jr. MEM PKWY",rocky_mountain
John F. Kennedy Center For Pa,national_capital
Kings Canyon NP,western
Korean War Veterans Memorial,national_capital
Lake Mead NRA,western
Lake Meredith NRA,southwest
Lassen Volcanic NP,western
Lincoln Memorial,national_capital
Mammoth Cave NP,southwest
"Martin Luther King, Jr. Memorial",national_capital
"Martin Luther King, Jr. NHP",southwest
Mesa Verde NP,rocky_mountain
Montezuma Castle NM,western
Morristown NHP,mid_atlantic
Mount Rainier NP,pacific_northwest_and_alaska
Mount Rushmore NMEM,rocky_mountain
Muir Woods NM,western
Natchez Trace PKWY,southeast
National Capital Parks Central,national_capital
National Capital Parks Combined,national_capital
Olympic NP,pacific_northwest_and_alaska
Ozark NSR,midwest
Petersburg NB,mid_atlantic
Petrified Forest NP,western
Pinnacles NP,western
Pipe Spring NM,western
Point Reyes NS,western
Rock Creek Park,national_capital
Rocky Mountain NP,rocky_mountain
Saguaro NP,western
San Francisco Maritime NHP,western
San Juan NHS,pacific_northwest_and_alaska
Scotts Bluff NM,midwest
Sequoia NP,western
Shenandoah NP,mid_atlantic
Shiloh NMP,southeast
Statue of Liberty NM,north_atlantic
Thomas Jefferson MEM,north_atlantic
Tumacacori NHP,western
Valley Forge NHP,north_atlantic
Vicksburg NMP,southeast
Vietnam Veterans MEM,national_capital
Washington Monument,national_capital
White House,national_capital
Wind Cave NP,rocky_mountain
World War II Memorial,national_capital
Yellowstone NP,rocky_mountain
Yosemite NP,western
Zion NP,rocky_mountain
